N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
1,698.7890504276879,2187.0411901008115,-1488.2521396731236,-0.6804865616657739,0.6804865616657739,95.42515430172263,0.1784124042664218,,0.9558023730744536
2,1011.0548664344227,2187.0411901008115,-1175.9863236663887,-0.5377065274258422,0.5377065274258422,69.49723582894057,0.1299360637647716,0.4468670707069825,0.9765572652999543
3,1367.5253731719617,2187.0411901008115,-819.5158169288497,-0.37471439524697486,0.37471439524697486,42.23961741748662,0.07897363911950805,0.3525728608524133,0.9913400943210635
4,1608.3926072553247,2187.0411901008115,-578.6485828454868,-0.26458056001168134,0.26458056001168134,24.826298169690133,0.04641668727602492,0.17613364900475212,0.9970084439510879
5,1704.9158796245697,2187.0411901008115,-482.1253104762418,-0.2204463787232184,0.2204463787232184,18.589108147562015,0.034755274980102384,0.06001225816000183,0.9983227788972047
6,1764.6118520360674,2187.0411901008115,-422.4293380647441,-0.19315106637075832,0.19315106637075832,14.429702249717174,0.026978608418914158,0.0350140280379364,0.9989893798585762
7,1784.3328734974893,2187.0411901008115,-402.70831660332215,-0.18413385098831145,0.18413385098831145,12.991300455002545,0.024289288979254208,0.011175840986598387,0.99918082165364
8,1788.342747184348,2187.0411901008115,-398.6984429164636,-0.182300381319332,0.182300381319332,12.001642234862217,0.022438966559035954,0.002247267730375196,0.9993008754338587
9,1855.930102951515,2187.0411901008115,-331.1110871492965,-0.15139682263324633,0.15139682263324633,9.061388421345745,0.01694169745990158,0.03779328983416621,0.9996014684538564
10,1864.3885653630116,2187.0411901008115,-322.6526247377999,-0.147529285775787,0.147529285775787,8.28290376582476,0.015486197386651935,0.004557532849995259,0.9996670044413662
11,1863.3999273877375,2187.0411901008115,-323.64126271307396,-0.1479813293768627,0.1479813293768627,8.106102069661087,0.015155638678921632,0.0005302746399764384,0.9996810685511218
