N,fourier_perimeter,reference_polygon_perimeter,length_error,relative_length_error,abs_relative_length_error,rmse,rmse_normalized,relative_step_change,energy_ratio
12,1893.2417077449472,2187.0411901008115,-293.79948235586426,-0.13433651075511824,0.13433651075511824,7.173256349090331,0.01341153620369339,0.016014694386644247,0.9997502497608621
13,1922.5396972208923,2187.0411901008115,-264.50149287991917,-0.12094033440116736,0.12094033440116736,6.133798552473761,0.01146810560633263,0.015475039112064628,0.9998173867745732
14,1934.526638729409,2187.0411901008115,-252.5145513714026,-0.11545944013965415,0.11545944013965415,5.782044266265827,0.010810445386942829,0.006234951364512352,0.9998377308226684
15,1965.006522773184,2187.0411901008115,-222.0346673276274,-0.10152285578004716,0.10152285578004716,4.784056124067666,0.00894454886121157,0.01575573240169714,0.9998889123596695
16,1974.8943508888956,2187.0411901008115,-212.1468392119159,-0.09700175752160252,0.09700175752160252,4.598535108394352,0.008597688007902718,0.005031956892314514,0.9998973610446885
17,1998.7266800537745,2187.0411901008115,-188.31451004703695,-0.0861046929062898,0.0861046929062898,3.92715021378927,0.00734242786071018,0.012067647646139693,0.999925143720731
18,2003.6471630072342,2187.0411901008115,-183.39402709357728,-0.08385485738616735,0.08385485738616735,3.7700107889100196,0.007048630876016766,0.002461808811861803,0.9999310144079184
19,2018.76486478492,2187.0411901008115,-168.27632531589143,-0.07694245818394245,0.07694245818394245,3.408672016002644,0.006373050944280468,0.007545091798995185,0.9999436046053202
20,2032.8794684117315,2187.0411901008115,-154.16172168907997,-0.07048871433554203,0.07048871433554203,2.9980388317300157,0.0056053073213987005,0.006991702636114203,0.999956373766718
21,2035.2997295167002,2187.0411901008115,-151.74146058411134,-0.06938207715105578,0.06938207715105578,2.86070590096764,0.005348541707116353,0.0011905580938645403,0.9999602790493883
22,2037.3780980466554,2187.0411901008115,-149.6630920541561,-0.06843176650333567,0.06843176650333567,2.817587226602144,0.0052679245321311805,0.0010211609129672358,0.9999614674323558
23,2043.0330637135544,2187.0411901008115,-144.0081263872571,-0.06584609701869358,0.06584609701869358,2.726599535116949,0.005097808665771697,0.0027756093345269145,0.9999639158962706
24,2048.864170198878,2187.0411901008115,-138.17701990193336,-0.06317988912479701,0.06317988912479701,2.5768876323385923,0.004817898607281958,0.002854142005281467,0.9999677697130416
25,2050.220745866375,2187.0411901008115,-136.8204442344363,-0.06255961014987997,0.06255961014987997,2.562197874369659,0.004790433783604101,0.0006621110795086894,0.9999681361284214
26,2064.0036281152434,2187.0411901008115,-123.03756198556812,-0.05625754217271816,0.05625754217271816,2.305271876688876,0.00431007003360333,0.006722633295296146,0.9999742060701635
27,2068.4387690831627,2187.0411901008115,-118.6024210176488,-0.05422962381983388,0.05422962381983388,2.1905361327808794,0.0040955534307671685,0.0021488048313022096,0.9999767097552502
28,2082.4424237649346,2187.0411901008115,-104.59876633587692,-0.047826610129393786,0.047826610129393786,1.8437718822835183,0.0034472228716227525,0.006770156743860979,0.9999834998616666
